Title,Length/genre,Rating,metascore,story,genre,director,star
 Cannes Film Festival 2019 (2019),None,None,None,A visit to Cannes Film Festival 2019 and footage of some events.,"News, Reality-TV, Talk-Show", Mark Headley , Gerard van Gent
 Khobbi shou «OKnutye lyudi» (2023),60 min,None,None,"Azamat Musagaliev, Yana Koshkina, Denis Dorokhov and Zoya Yarovitsyna must guess which of the heroes is a virtuoso pianist and which is a man without bones."," Game-Show, Reality-TV, Talk-Show", Anatoliy Pereverzev ," Sergey Burunov, Azamat Musagaliev, Yana Koshkina, Denis Dorokhov"
 Star Trek: Picard: The IMAX Live Series Finale Event (2023),60 min,None,None,The Paramount+ series Star Trek: Picard ends with final two episodes in 10 movie theaters followed with a live O&A with cast members. Participating Imax theaters include the cities of Los ... See full summary », Talk-Show, Mark East ," LeVar Burton, Michael Dorn, Jonathan Frakes, Alex Kurtzman"
 Oh no! The Rise of Skywalker was real bad (2019),64 min,9.4,None,Add a Plot, Talk-Show, Jenny Nicholson , Jenny Nicholson
 Get Out of My Dreams (I),None,None,None,"Alice and John Timberlake live a quiet life in the suburbs of California. John is a prison officer at the California State Prison and Alice assists the Agony Aunt columnist, with the big ... See full summary »", Pre-production, Tiffany Sturdivant ," Joseph Moreland, Gonzalo Robles, Samuel Oppong, Shawana 'Shay' McCray"
 PA39: The Halloween Broadcast (2023),72 min,None,None,"Feature-length release of the PA39 Hallowe'en television broadcast, including the full episode of ""Tyson Knight's Hallowe'en Special"" complete with TV idents and commercial breaks, as well ... See full summary »", Completed, Keiron Hollett ," Nathan Head, Shawn C. Phillips, Rusty Apper, Velton Lishke"
 Pipkin Pippa Ch. Phase Connect (2021),None,None,None,Add a Plot,"Comedy, Reality-TV, Talk-Show", Pippa Pipkin ," Pippa Pipkin, Bird Prisoner, Tenma Maemi, Kirsche"
 City on Fire (2019),None,None,None,Add a Plot,"Music, Talk-Show", Nickolas Donald,None
 Bridging Heaven & Earth: Carlos Castaneda (1995),58 min,2.8,None,"The only three disciples of Carlos Castaneda (at the time of the first airing); fierce guardian warriors (""Chocmools"") demonstrate the techniques of Tensegrity, ancient magical movements ... See full summary »", Talk-Show, Michael Martin ," Kylie Lundahl, Nyei Murez, Reni Murez, Alla Silberhartz"
 The Divine Goddesses (2022),120 min,None,None,"What exactly is The Sacred Divine Feminine Goddess, and how does she show up? We enter a New Earth and with that the rise of the original Goddess. She leads now from her authentic Power, ... See full summary »", Talk-Show, Paris Henriksen ," Paris Henriksen, Melissa Ambrosini, Tiara Sharde, Yolanda Boyarin"
